xhb,0,602,0,,0,Frequency,Cumulative %
yc4,0,602,,,,,
ydr,1,602,,,,,
ydt,1,602,,,,,
mcs,10,602,,,,,
can,39,602,,,,,
c21,245,602,,,,,
ydy,0,602,,,,,
ydj,0,602,,,,,
yc3,107,602,,,,,
cad,7,602,,,,,
c3c,86,602,,,,,
mca,0,602,,,,,
ydu,0,602,,,,,
ydx,15,602,,,,,
car,0,602,,,,,
ycf,0,602,,,,,
ye3,0,602,,,,,
ydk,0,602,,,,,
cap,2,602,,,,,
mc0,11,602,,,,,
yda,5,602,,,,,
yea,0,602,,,,,
cah,0,602,,,,,
c4,74,602,,,,,
ydp,0,602,,,,,
ye2,0,602,,,,,
yc6,8,602,,,,,
yef,11,602,,,,,
max,151,602,,,,,
ydw,7,602,,,,,
yed,0,602,,,,,
ye8,66,602,,,,,
ye7,0,602,,,,,
yel,9,602,,,,,
mc2,0,602,,,,,
yee,44,602,,,,,
yep,0,602,,,,,
ydq,11,602,,,,,
ydm,3,602,,,,,
ycd,28,602,,,,,
yct,0,602,,,,,
yet,0,602,,,,,
ycl,212,602,,,,,
ye5,73,602,,,,,
ycw,0,602,,,,,
ycj,265,602,,,,,
ca3,1,602,,,,,
yes,0,602,,,,,
yem,5,602,,,,,
yff,0,602,,,,,
mbj,74,602,,,,,
yfm,0,602,,,,,
ye9,171,602,,,,,
yew,0,602,,,,,
yfr,0,602,,,,,
yfu,0,602,,,,,
yeo,1,602,,,,,
yex,2,602,,,,,
yfe,2,602,,,,,
ydz,0,602,,,,,
yfw,0,602,,,,,
cas,0,602,,,,,
yer,26,602,,,,,
yf,13,602,,,,,
cak,1,602,,,,,
mcz,0,602,,,,,
mcx,0,602,,,,,
yfx,1,602,,,,,
ycx,28,602,,,,,
ydh,7,602,,,,,
yfh,102,602,,,,,
cat,2,602,,,,,
md3,0,602,,,,,
ycz,43,602,,,,,
cb2,0,602,,,,,
mcy,1,602,,,,,
yfc,0,602,,,,,
md4,0,602,,,,,
caz,86,602,,,,,
cba,0,602,,,,,
cbb,0,602,,,,,
md,12,602,,,,,
cb,2,602,,,,,
yey,10,602,,,,,
caq,100,602,,,,,
md2,7,602,,,,,
yen,0,602,,,,,
cbs,0,602,,,,,
ye,154,602,,,,,
ye4,81,602,,,,,
mdg,1,602,,,,,
mdd,1,602,,,,,
cbf,0,602,,,,,
yeh,10,602,,,,,
mdr,0,602,,,,,
yez,0,602,,,,,
mdl,0,602,,,,,
yev,0,602,,,,,
ye6,51,602,,,,,
mdt,0,602,,,,,
mdf,37,602,,,,,
mda,330,602,,,,,
cbt,3,602,,,,,
mdy,0,602,,,,,
cau,4,602,,,,,
ccb,0,602,,,,,
me5,0,602,,,,,
cby,3,602,,,,,
cbq,235,602,,,,,
cbx,3,602,,,,,
mdk,2,602,,,,,
med,0,602,,,,,
cbl,1,602,,,,,
mdi,233,602,,,,,
ccm,0,602,,,,,
cbw,2,602,,,,,
mee,0,602,,,,,
me4,29,602,,,,,
cbc,24,602,,,,,
mek,0,602,,,,,
me2,1,602,,,,,
cbn,52,602,,,,,
me3,83,602,,,,,
mdx,252,602,,,,,
meg,4,602,,,,,
ccp,0,602,,,,,
ccq,0,602,,,,,
cck,10,602,,,,,
mec,75,602,,,,,
ccc,151,602,,,,,
ccw,1,602,,,,,
mdu,22,602,,,,,
cc2,46,602,,,,,
ccr,11,602,,,,,
ccx,241,602,,,,,
cbk,431,602,,,,,
cdj,0,602,,,,,
ccl,0,602,,,,,
cc,331,602,,,,,
ccj,115,602,,,,,
mev,0,602,,,,,
ccy,0,602,,,,,
mdw,251,602,,,,,
mey,0,602,,,,,
mel,0,602,,,,,
cdd,37,602,,,,,
cdm,0,602,,,,,
men,0,602,,,,,
meh,9,602,,,,,
cd,0,602,,,,,
mez,1,602,,,,,
mea,170,602,,,,,
mex,21,602,,,,,
cdw,8,602,,,,,
cds,0,602,,,,,
meu,33,602,,,,,
mew,546,602,,,,,
mf,11,602,,,,,
cch,2,602,,,,,
mfc,0,602,,,,,
cdl,2,602,,,,,
cdr,61,602,,,,,
mfk,0,602,,,,,
mer,1,602,,,,,
yg3,1,602,,,,,
mei,73,602,,,,,
ccz,208,602,,,,,
cdx,6,602,,,,,
ygc,0,602,,,,,
mf2,0,602,,,,,
mem,333,602,,,,,
mfb,104,602,,,,,
ygm,0,602,,,,,
mes,3,602,,,,,
cdh,1,602,,,,,
mg,1,602,,,,,
yfz,10,602,,,,,
mfy,186,602,,,,,
mfl,0,602,,,,,
mg9,0,602,,,,,
mha,0,602,,,,,
yge,66,602,,,,,
yh5,0,602,,,,,
ygl,0,602,,,,,
ygq,0,602,,,,,
ygg,5,602,,,,,
mh,0,602,,,,,
yg2,0,602,,,,,
yg,134,602,,,,,
cdp,41,602,,,,,
mgo,4,602,,,,,
mhi,0,602,,,,,
ygs,39,602,,,,,
mhm,0,602,,,,,
yhl,1,602,,,,,
mhb,0,602,,,,,
mgh,346,602,,,,,
mhq,0,602,,,,,
ygu,23,602,,,,,
mgx,15,602,,,,,
mgy,32,602,,,,,
mhw,1,602,,,,,
mh2,42,602,,,,,
mhj,9,602,,,,,
yhc,2,602,,,,,
ygy,395,602,,,,,
yhj,0,602,,,,,
mhf,74,602,,,,,
yh2,34,602,,,,,
yh,101,602,,,,,
mh7,188,602,,,,,
mgd,53,602,,,,,
mi3,0,602,,,,,
yhp,0,602,,,,,
mhs,0,602,,,,,
mhz,0,602,,,,,
yho,1,602,,,,,
mi,0,602,,,,,
mhl,6,602,,,,,
yhh,3,602,,,,,
yi2,43,602,,,,,
yi5,0,602,,,,,
mhx,14,602,,,,,
mhr,6,602,,,,,
yhx,0,602,,,,,
yhq,0,602,,,,,
0,0,602,,,,,
yhr,0,602,,,,,
mht,113,602,,,,,
yi,0,602,,,,,
yhz,24,602,,,,,
mi2,37,602,,,,,
mi5,11,602,,,,,
mia,0,602,,,,,
yht,35,602,,,,,
yhy,2,602,,,,,
yi9,2,602,,,,,
yhs,216,602,,,,,
0,8,602,,,,,
yi4,265,602,,,,,
yi3,0,602,,,,,
mie,0,602,,,,,
yi7,1,602,,,,,
mi8,0,602,,,,,
mhy,2,602,,,,,
mi4,4,602,,,,,
mi7,1,602,,,,,
yid,0,602,,,,,
3,3,602,,,,,
1,64,602,,,,,
yif,0,602,,,,,
mig,0,602,,,,,
yic,2,602,,,,,
8,0,602,,,,,
0,3,602,,,,,
mic,0,602,,,,,
2,197,602,,,,,
yi8,267,602,,,,,
yig,0,602,,,,,
mim,0,602,,,,,
mik,0,602,,,,,
00k,0,602,,,,,
yii,1,602,,,,,
yik,1,602,,,,,
yie,5,602,,,,,
cec,1,602,,,,,
yib,6,602,,,,,
yi6,193,602,,,,,
mi6,84,602,,,,,
cev,0,602,,,,,
cf,0,602,,,,,
7,9,602,,,,,
ce2,165,602,,,,,
mil,6,602,,,,,
ced,0,602,,,,,
mi9,7,602,,,,,
ce4,81,602,,,,,
mii,149,602,,,,,
ce3,0,602,,,,,
cem,6,602,,,,,
cen,154,602,,,,,
ceh,1,602,,,,,
cdy,34,602,,,,,
cfq,0,602,,,,,
cgy,0,602,,,,,
cg,0,602,,,,,
cfb,9,602,,,,,
cff,0,602,,,,,
cee,45,602,,,,,
ce6,1,602,,,,,
cfk,0,602,,,,,
cgn,3,602,,,,,
cfd,15,602,,,,,
cfm,4,602,,,,,
cfz,0,602,,,,,
cgh,0,602,,,,,
cfe,2,602,,,,,
ce,247,602,,,,,
ce5,380,602,,,,,
chb,0,602,,,,,
cge,2,602,,,,,
chc,1,602,,,,,
cez,9,602,,,,,
ch7,1,602,,,,,
cgd,31,602,,,,,
cgp,47,602,,,,,
chd,1,602,,,,,
chh,0,602,,,,,
chf,2,602,,,,,
ch3,1,602,,,,,
che,0,602,,,,,
ch,141,602,,,,,
cho,0,602,,,,,
chp,0,602,,,,,
min,95,602,,,,,
chk,172,602,,,,,
ch2,1,602,,,,,
ch4,0,602,,,,,
cha,90,602,,,,,
mit,0,602,,,,,
yj,0,602,,,,,
yiu,0,602,,,,,
mir,3,602,,,,,
mip,3,602,,,,,
chn,123,602,,,,,
yiz,0,602,,,,,
chj,42,602,,,,,
chr,0,602,,,,,
chi,65,602,,,,,
yio,45,602,,,,,
cht,0,602,,,,,
chg,0,602,,,,,
yjb,0,602,,,,,
yin,0,602,,,,,
mio,1,602,,,,,
mix,1,602,,,,,
chs,55,602,,,,,
yim,29,602,,,,,
miv,129,602,,,,,
yiw,9,602,,,,,
miz,17,602,,,,,
yjc,4,602,,,,,
mj,20,602,,,,,
chv,0,602,,,,,
yip,2,602,,,,,
cia,0,602,,,,,
chx,0,602,,,,,
mj8,0,602,,,,,
miu,1,602,,,,,
yj2,1,602,,,,,
mj2,5,602,,,,,
mjh,0,602,,,,,
mj3,0,602,,,,,
chl,6,602,,,,,
yjg,0,602,,,,,
cim,0,602,,,,,
ci3,0,602,,,,,
mjc,1,602,,,,,
mja,3,602,,,,,
yjf,2,602,,,,,
mjg,1,602,,,,,
yjh,545,602,,,,,
chz,0,602,,,,,
ci,105,602,,,,,
mjk,0,602,,,,,
cip,11,602,,,,,
mji,1,602,,,,,
chu,3,602,,,,,
mjl,0,602,,,,,
mjm,0,602,,,,,
mjj,0,602,,,,,
yjy,0,602,,,,,
cik,2,602,,,,,
cin,5,602,,,,,
yjx,0,602,,,,,
yjj,77,602,,,,,
cic,4,602,,,,,
yjk,0,602,,,,,
chy,64,602,,,,,
cj,0,602,,,,,
chw,308,602,,,,,
yjd,5,602,,,,,
yjl,1,602,,,,,
mjs,0,602,,,,,
yk1,0,602,,,,,
yjs,16,602,,,,,
mjo,0,602,,,,,
yjq,30,602,,,,,
cis,0,602,,,,,
cjg,0,602,,,,,
cjd,0,602,,,,,
cj2,1,602,,,,,
ykj,0,602,,,,,
ykh,1,602,,,,,
ykb,125,602,,,,,
mjw,1,602,,,,,
mjr,11,602,,,,,
ykk,0,602,,,,,
cjb,5,602,,,,,
cjc,19,602,,,,,
yjz,7,602,,,,,
mjx,0,602,,,,,
mjz,22,602,,,,,
ykd,0,602,,,,,
cj3,0,602,,,,,
mkb,0,602,,,,,
mkc,0,602,,,,,
ykg,23,602,,,,,
cjm,0,602,,,,,
yko,0,602,,,,,
mjq,278,602,,,,,
yky,0,602,,,,,
mk2,8,602,,,,,
yk,13,602,,,,,
cjk,0,602,,,,,
ykv,3,602,,,,,
mjy,1,602,,,,,
mkm,1,602,,,,,
cjl,102,602,,,,,
ykz,0,602,,,,,
mkn,0,602,,,,,
cjh,112,602,,,,,
yl2,7,602,,,,,
yjw,159,602,,,,,
cjp,25,602,,,,,
cjt,35,602,,,,,
cjr,0,602,,,,,
cjw,4,602,,,,,
ylf,0,602,,,,,
cjj,60,602,,,,,
yl,450,602,,,,,
cjn,0,602,,,,,
ykw,0,602,,,,,
ykl,2,602,,,,,
mk,23,602,,,,,
yld,0,602,,,,,
mkw,1,602,,,,,
ylb,4,602,,,,,
ml,1,602,,,,,
mky,3,602,,,,,
cjx,0,602,,,,,
cjy,19,602,,,,,
mko,0,602,,,,,
ylq,0,602,,,,,
mks,0,602,,,,,
yly,0,602,,,,,
ck3,6,602,,,,,
ylt,1,602,,,,,
ylc,0,602,,,,,
yma,0,602,,,,,
cjz,47,602,,,,,
ymh,0,602,,,,,
mlc,312,602,,,,,
cjs,5,602,,,,,
mkh,7,602,,,,,
ylj,1,602,,,,,
mkd,78,602,,,,,
ym,1,602,,,,,
ymo,2,602,,,,,
ylu,140,602,,,,,
ylz,0,602,,,,,
yls,327,602,,,,,
yo,0,602,,,,,
ymt,0,602,,,,,
ym2,3,602,,,,,
mkk,127,602,,,,,
ck,11,602,,,,,
ymc,112,602,,,,,
yns,1,602,,,,,
ynh,7,602,,,,,
ylp,0,602,,,,,
yo3,0,602,,,,,
yml,0,602,,,,,
yn,0,602,,,,,
yll,34,602,,,,,
ymy,144,602,,,,,
ymj,11,602,,,,,
mle,194,602,,,,,
yms,8,602,,,,,
ypa,0,602,,,,,
yoj,0,602,,,,,
ylw,37,602,,,,,
yop,0,602,,,,,
yoh,0,602,,,,,
yno,0,602,,,,,
ypl,0,602,,,,,
ypg,0,602,,,,,
ynx,0,602,,,,,
yon,1,602,,,,,
yo2,0,602,,,,,
ypp,0,602,,,,,
yng,0,602,,,,,
yln,87,602,,,,,
yoz,274,602,,,,,
ypc,49,602,,,,,
ckc,0,602,,,,,
ymz,4,602,,,,,
ckf,0,602,,,,,
mlt,2,602,,,,,
yp,156,602,,,,,
ynw,101,602,,,,,
ckd,0,602,,,,,
ck4,4,602,,,,,
yoo,0,602,,,,,
ypq,13,602,,,,,
mlg,8,602,,,,,
ckp,0,602,,,,,
ck5,0,602,,,,,
ckm,0,602,,,,,
mls,2,602,,,,,
mlz,0,602,,,,,
mlh,0,602,,,,,
ypf,1,602,,,,,
cke,119,602,,,,,
mm2,2,602,,,,,
mmf,0,602,,,,,
mlx,192,602,,,,,
mmc,2,602,,,,,
mmg,1,602,,,,,
ck9,0,602,,,,,
yor,2,602,,,,,
ckt,0,602,,,,,
ckl,59,602,,,,,
mma,0,602,,,,,
mlq,0,602,,,,,
mmh,0,602,,,,,
clb,0,602,,,,,
ckk,0,602,,,,,
cl,108,602,,,,,
mmb,11,602,,,,,
mml,0,602,,,,,
mmx,0,602,,,,,
clj,0,602,,,,,
ckr,21,602,,,,,
clh,0,602,,,,,
mmz,0,602,,,,,
clf,2,602,,,,,
cll,0,602,,,,,
cks,422,602,,,,,
mmm,3,602,,,,,
mly,4,602,,,,,
cky,99,602,,,,,
clc,0,602,,,,,
cli,0,602,,,,,
mmp,20,602,,,,,
mli,281,602,,,,,
clr,0,602,,,,,
mms,10,602,,,,,
mnb,0,602,,,,,
mmw,0,602,,,,,
mnk,0,602,,,,,
mmj,1,602,,,,,
mna,2,602,,,,,
cld,0,602,,,,,
clq,3,602,,,,,
clg,196,602,,,,,
cle,2,602,,,,,
mn,13,602,,,,,
clz,0,602,,,,,
mn4,40,602,,,,,
mnu,0,602,,,,,
mmr,0,602,,,,,
clp,297,602,,,,,
clw,7,602,,,,,
cm2,0,602,,,,,
mm,153,602,,,,,
cm3,0,602,,,,,
mnn,21,602,,,,,
clx,10,602,,,,,
mnp,2,602,,,,,
clo,0,602,,,,,
mnt,10,602,,,,,
cly,15,602,,,,,
cm,6,602,,,,,
mo9,0,602,,,,,
cmh,0,602,,,,,
cls,0,602,,,,,
mo,6,602,,,,,
mo3,143,602,,,,,
mob,0,602,,,,,
moi,0,602,,,,,
cmj,0,602,,,,,
cma,27,602,,,,,
cmb,2,602,,,,,
clu,0,602,,,,,
moh,0,602,,,,,
mmy,267,602,,,,,
mo5,46,602,,,,,
moe,2,602,,,,,
clk,70,602,,,,,
mog,0,602,,,,,
mno,0,602,,,,,
cmc,362,602,,,,,
mo4,22,602,,,,,
ypu,0,602,,,,,
cmd,121,602,,,,,
yq2,0,602,,,,,
mo8,390,602,,,,,
mom,0,602,,,,,
yqc,0,602,,,,,
moc,217,602,,,,,
mol,5,602,,,,,
ypx,428,602,,,,,
mor,0,602,,,,,
yqg,2,602,,,,,
ypw,39,602,,,,,
yqh,1,602,,,,,
yql,0,602,,,,,
yq,0,602,,,,,
yqm,0,602,,,,,
moz,0,602,,,,,
yq3,33,602,,,,,
yqp,2,602,,,,,
mnm,56,602,,,,,
yqx,0,602,,,,,
moo,151,602,,,,,
mok,3,602,,,,,
yqf,251,602,,,,,
mp,0,602,,,,,
mos,2,602,,,,,
mop,40,602,,,,,
mou,2,602,,,,,
moy,11,602,,,,,
mph,0,602,,,,,
mpc,0,602,,,,,
yrf,0,602,,,,,
mpp,0,602,,,,,
yqw,1,602,,,,,
yrg,1,602,,,,,
mo7,2,602,,,,,
mot,234,602,,,,,
mp9,9,602,,,,,
yqq,6,602,,,,,
mpq,0,602,,,,,
mpl,1,602,,,,,
mps,1,602,,,,,
mqh,0,602,,,,,
yre,19,602,,,,,
mpk,9,602,,,,,
ysh,0,602,,,,,
yqy,104,602,,,,,
mq,0,602,,,,,
yrt,29,602,,,,,
ys,217,602,,,,,
mqk,0,602,,,,,
mpb,6,602,,,,,
ys2,10,602,,,,,
ysj,0,602,,,,,
yrj,272,602,,,,,
yrd,70,602,,,,,
yr,107,602,,,,,
ysn,1,602,,,,,
ysc,67,602,,,,,
ysi,97,602,,,,,
mqg,72,602,,,,,
mpt,0,602,,,,,
mqs,0,602,,,,,
ys1,39,602,,,,,
ysf,0,602,,,,,
mqb,0,602,,,,,
yst,1,602,,,,,
ysl,63,602,,,,,
ysm,110,602,,,,,
yrq,365,602,,,,,
yss,241,602,,,,,
mr4,0,602,,,,,
ysw,4,602,,,,,
mql,2,602,,,,,
mr0,0,602,,,,,
ysx,0,602,,,,,
mqr,0,602,,,,,
mr3,109,602,,,,,
yt,0,602,,,,,
ysu,5,602,,,,,
ysk,0,602,,,,,
cmq,0,602,,,,,
mqz,13,602,,,,,
cmk,0,602,,,,,
ysy,3,602,,,,,
cmt,0,602,,,,,
ysp,0,602,,,,,
mqx,0,602,,,,,
mr5,11,602,,,,,
cmm,17,602,,,,,
cnc,0,602,,,,,
cn,0,602,,,,,
cmr,1,602,,,,,
mqq,53,602,,,,,
mqp,17,602,,,,,
cmx,0,602,,,,,
cny,0,602,,,,,
mra,146,602,,,,,
cnn,0,602,,,,,
cnj,0,602,,,,,
coq,0,602,,,,,
con,0,602,,,,,
coo,0,602,,,,,
cow,0,602,,,,,
mr,2,602,,,,,
mr2,4,602,,,,,
cnu,0,602,,,,,
cmy,35,602,,,,,
cpd,0,602,,,,,
coz,0,602,,,,,
cmz,4,602,,,,,
cob,3,602,,,,,
cph,0,602,,,,,
co,11,602,,,,,
cot,10,602,,,,,
cpa,2,602,,,,,
cpf,0,602,,,,,
cnl,58,602,,,,,
cps,0,602,,,,,
cp,4,602,,,,,
co9,0,602,,,,,
cp3,3,602,,,,,
ysz,173,602,,,,,
cp4,111,602,,,,,
cpb,153,602,,,,,
cpk,1,602,,,,,
cp5,285,602,,,,,
cpu,0,602,,,,,
cmo,113,602,,,,,
cpp,212,602,,,,,
cox,1,602,,,,,
ytc,0,602,,,,,
col,0,602,,,,,
cpc,30,602,,,,,
yt4,0,602,,,,,
yt3,0,602,,,,,
cod,1,602,,,,,
cq2,0,602,,,,,
cqh,0,602,,,,,
cpt,32,602,,,,,
cpr,133,602,,,,,
coy,1,602,,,,,
ytf,0,602,,,,,
mrc,0,602,,,,,
cqb,3,602,,,,,
cqx,0,602,,,,,
cq,29,602,,,,,
yth,0,602,,,,,
cpy,47,602,,,,,
mrb,42,602,,,,,
mrh,1,602,,,,,
mrg,1,602,,,,,
yt2,17,602,,,,,
mrj,1,602,,,,,
ytj,2,602,,,,,
mrf,5,602,,,,,
mrd,42,602,,,,,
cr,2,602,,,,,
ytn,0,602,,,,,
cqy,0,602,,,,,
cqq,4,602,,,,,
ytw,0,602,,,,,
mrm,3,602,,,,,
cqr,307,602,,,,,
mrl,7,602,,,,,
mrr,0,602,,,,,
cr2,2,602,,,,,
crd,0,602,,,,,
yu,0,602,,,,,
ytt,13,602,,,,,
mrk,33,602,,,,,
ytr,3,602,,,,,
cr9,151,602,,,,,
ytu,2,602,,,,,
mrs,3,602,,,,,
cr7,58,602,,,,,
crc,141,602,,,,,
mrt,42,602,,,,,
mrw,0,602,,,,,
mrp,11,602,,,,,
mrx,0,602,,,,,
mro,1,602,,,,,
yty,12,602,,,,,
cre,3,602,,,,,
crj,0,602,,,,,
mru,15,602,,,,,
ytk,28,602,,,,,
mry,0,602,,,,,
yu3,14,602,,,,,
yu7,0,602,,,,,
cro,2,602,,,,,
yu2,27,602,,,,,
crh,12,602,,,,,
ms,0,602,,,,,
msc,0,602,,,,,
yu8,1,602,,,,,
crz,0,602,,,,,
crk,10,602,,,,,
ms0,0,602,,,,,
mrz,0,602,,,,,
yu4,149,602,,,,,
cry,7,602,,,,,
msd,0,602,,,,,
yub,0,602,,,,,
csc,0,602,,,,,
cse,0,602,,,,,
yug,0,602,,,,,
crt,80,602,,,,,
yu5,151,602,,,,,
msj,0,602,,,,,
yu6,397,602,,,,,
yu9,35,602,,,,,
msh,2,602,,,,,
yuc,1,602,,,,,
yuh,0,602,,,,,
cs,135,602,,,,,
csg,2,602,,,,,
csl,0,602,,,,,
msl,0,602,,,,,
msk,0,602,,,,,
yuj,0,602,,,,,
msg,203,602,,,,,
msr,0,602,,,,,
msq,1,602,,,,,
msn,0,602,,,,,
csh,112,602,,,,,
csj,2,602,,,,,
csd,308,602,,,,,
csm,0,602,,,,,
yue,81,602,,,,,
csk,300,602,,,,,
yul,0,602,,,,,
msv,1,602,,,,,
mst,2,602,,,,,
msx,0,602,,,,,
msw,0,602,,,,,
yuk,27,602,,,,,
yui,155,602,,,,,
yup,0,602,,,,,
yus,0,602,,,,,
msy,0,602,,,,,
csw,0,602,,,,,
yum,8,602,,,,,
cst,1,602,,,,,
csn,8,602,,,,,
yur,0,602,,,,,
csr,105,602,,,,,
yut,1,602,,,,,
mtm,0,602,,,,,
csu,31,602,,,,,
csy,0,602,,,,,
css,8,602,,,,,
mtn,1,602,,,,,
yuo,1,602,,,,,
mt,5,602,,,,,
yuy,0,602,,,,,
yuw,1,602,,,,,
csz,0,602,,,,,
csq,23,602,,,,,
yun,227,602,,,,,
msz,118,602,,,,,
csx,140,602,,,,,
ct,2,602,,,,,
mtp,1,602,,,,,
ct4,0,602,,,,,
csv,14,602,,,,,
mts,1,602,,,,,
yvs,0,602,,,,,
ywc,0,602,,,,,
mtf,103,602,,,,,
mtt,3,602,,,,,
yuz,0,602,,,,,
yvi,0,602,,,,,
ywj,0,602,,,,,
yvk,0,602,,,,,
yux,151,602,,,,,
ct5,0,602,,,,,
ywb,0,602,,,,,
ywu,0,602,,,,,
yvh,104,602,,,,,
yvv,0,602,,,,,
yuu,46,602,,,,,
ywp,3,602,,,,,
mtx,103,602,,,,,
yws,0,602,,,,,
ywf,1,602,,,,,
yve,16,602,,,,,
yvn,17,602,,,,,
yvc,17,602,,,,,
yw,155,602,,,,,
ywy,99,602,,,,,
yx9,3,602,,,,,
ywz,2,602,,,,,
yxp,0,602,,,,,
yww,9,602,,,,,
yxf,1,602,,,,,
yxc,0,602,,,,,
ywh,8,602,,,,,
yxs,0,602,,,,,
yxg,0,602,,,,,
yxu,0,602,,,,,
yxh,0,602,,,,,
yxq,0,602,,,,,
ywx,136,602,,,,,
ywl,106,602,,,,,
yx,10,602,,,,,
yxz,0,602,,,,,
yxx,0,602,,,,,
yxd,0,602,,,,,
yxk,362,602,,,,,
yxj,0,602,,,,,
yx2,49,602,,,,,
ctc,0,602,,,,,
yy2,0,602,,,,,
yy4,0,602,,,,,
yxb,38,602,,,,,
yxm,0,602,,,,,
yxy,5,602,,,,,
mtz,0,602,,,,,
yya,26,602,,,,,
yy,62,602,,,,,
ctj,0,602,,,,,
yy3,0,602,,,,,
cth,1,602,,,,,
yxw,0,602,,,,,
ctr,0,602,,,,,
mty,3,602,,,,,
mu4,0,602,,,,,
mu,2,602,,,,,
ctl,3,602,,,,,
mu5,280,602,,,,,
ctf,0,602,,,,,
yxt,155,602,,,,,
mu2,0,602,,,,,
mu6,26,602,,,,,
muc,0,602,,,,,
ctb,29,602,,,,,
cu2,2,602,,,,,
cup,0,602,,,,,
mu9,215,602,,,,,
mue,0,602,,,,,
mud,4,602,,,,,
cun,1,602,,,,,
cts,200,602,,,,,
ctm,0,602,,,,,
ctg,25,602,,,,,
mu8,3,602,,,,,
ctz,1,602,,,,,
mug,4,602,,,,,
cty,3,602,,,,,
mu3,65,602,,,,,
cvg,2,602,,,,,
mv,0,602,,,,,
mvb,0,602,,,,,
mu7,134,602,,,,,
cur,6,602,,,,,
mun,1,602,,,,,
mux,22,602,,,,,
cw2,1,602,,,,,
muf,1,602,,,,,
cwb,2,602,,,,,
cue,25,602,,,,,
cva,55,602,,,,,
cuq,3,602,,,,,
cui,29,602,,,,,
mva,24,602,,,,,
mvk,0,602,,,,,
cwj,0,602,,,,,
cv,196,602,,,,,
cwk,0,602,,,,,
cwh,0,602,,,,,
mvx,3,602,,,,,
muz,0,602,,,,,
mui,157,602,,,,,
muu,0,602,,,,,
mum,1,602,,,,,
cwm,0,602,,,,,
cvv,1,602,,,,,
mw,0,602,,,,,
cwu,3,602,,,,,
cwx,0,602,,,,,
mww,0,602,,,,,
cwt,4,602,,,,,
cwl,337,602,,,,,
mwt,5,602,,,,,
mwl,5,602,,,,,
cx0,1,602,,,,,
cx,0,602,,,,,
mx2,0,602,,,,,
cwf,0,602,,,,,
mvp,0,602,,,,,
cwc,2,602,,,,,
mvc,5,602,,,,,
cww,397,602,,,,,
mvh,1,602,,,,,
cw,81,602,,,,,
mxg,0,602,,,,,
mwb,0,602,,,,,
mxh,0,602,,,,,
mxj,0,602,,,,,
cx2,2,602,,,,,
cxd,48,602,,,,,
mxc,17,602,,,,,
cxa,313,602,,,,,
mx6,4,602,,,,,
cx1,0,602,,,,,
mxs,0,602,,,,,
mxd,10,602,,,,,
cxc,133,602,,,,,
mvs,37,602,,,,,
mxt,0,602,,,,,
mwv,2,602,,,,,
cwy,1,602,,,,,
mwq,2,602,,,,,
yyg,0,602,,,,,
mxp,18,602,,,,,
mwu,46,602,,,,,
mxx,1,602,,,,,
yyh,331,602,,,,,
mxy,1,602,,,,,
mya,0,602,,,,,
yyb,1,602,,,,,
mxk,2,602,,,,,
yyc,0,602,,,,,
yyi,56,602,,,,,
yyo,0,602,,,,,
myc,0,602,,,,,
my2,8,602,,,,,
yyj,124,602,,,,,
yyl,52,602,,,,,
yym,13,602,,,,,
myj,0,602,,,,,
yyn,71,602,,,,,
cxg,57,602,,,,,
yyr,0,602,,,,,
my3,0,602,,,,,
myo,0,602,,,,,
myk,0,602,,,,,
myn,0,602,,,,,
my4,0,602,,,,,
yys,0,602,,,,,
yyw,1,602,,,,,
yyf,18,602,,,,,
myl,102,602,,,,,
yyp,0,602,,,,,
mxu,17,602,,,,,
yyt,20,602,,,,,
yyq,41,602,,,,,
yyx,30,602,,,,,
yyk,153,602,,,,,
yyz,1,602,,,,,
myw,1,602,,,,,
myy,0,602,,,,,
myu,5,602,,,,,
yz,371,602,,,,,
myq,17,602,,,,,
yyy,58,602,,,,,
yz9,3,602,,,,,
yze,0,602,,,,,
yz4,16,602,,,,,
mzc,0,602,,,,,
yza,0,602,,,,,
yzg,0,602,,,,,
mym,8,602,,,,,
yz6,8,602,,,,,
yzf,0,602,,,,,
mye,547,602,,,,,
mze,0,602,,,,,
mzf,0,602,,,,,
yzh,0,602,,,,,
myp,76,602,,,,,
yyu,83,602,,,,,
mzb,198,602,,,,,
yzm,0,602,,,,,
yzb,13,602,,,,,
mzz,0,602,,,,,
yzl,0,602,,,,,
yzj,24,602,,,,,
myx,20,602,,,,,
mys,151,602,,,,,
yzy,0,602,,,,,
mzy,3,602,,,,,
mz,425,602,,,,,
mzj,14,602,,,,,
yzk,336,602,,,,,
mzm,414,602,,,,,
yzw,0,602,,,,,
mzr,54,602,,,,,
n0w,0,602,,,,,
mzw,126,602,,,,,
yzp,4,602,,,,,
mzl,15,602,,,,,
n1k,1,602,,,,,
yzx,0,602,,,,,
n2,0,602,,,,,
n0p,1,602,,,,,
mzh,8,602,,,,,
n,2,602,,,,,
n16,0,602,,,,,
yzq,13,602,,,,,
z07,0,602,,,,,
cxj,1,602,,,,,
cxm,0,602,,,,,
cxn,0,602,,,,,
n1x,11,602,,,,,
z01,10,602,,,,,
z,8,602,,,,,
cxw,0,602,,,,,
cy3,0,602,,,,,
cxi,4,602,,,,,
cxh,5,602,,,,,
yzz,209,602,,,,,
cxl,50,602,,,,,
cxq,101,602,,,,,
cxs,15,602,,,,,
